date,open,close,low,high,volume,money
1996/11/15,951.51,950.83,943.8,958.62,5509857000.0,4914051600.0
1996/11/18,952.73,1004.69,948.82,1004.95,8278962000.0,7208801200.0
1996/11/19,1019.62,1015.96,1008.23,1047.39,12890007000.0,10483051600.0
1996/11/20,1010.81,1014.93,992.27,1018.89,8541935000.0,7033766700.0
1996/11/21,1018.05,940.77,937.84,1025.58,8714657000.0,6921271000.0
1996/11/22,928.52,951.83,919.61,952.03,6362317000.0,4318191400.0
1996/11/25,948.59,976.55,938.81,976.55,6440178000.0,4709915100.0
1996/11/26,981.47,967.59,957.81,985.13,6201207000.0,5166540100.0
1996/11/27,966.94,980.38,960.46,987.18,5476056000.0,4615036000.0
1996/11/28,983.01,992.64,978.51,1002.54,7510755000.0,6001409600.0
1996/11/29,997.85,1032.95,997.84,1037.16,13130487000.0,9572855600.0
1996/12/2,1056.68,1134.52,1056.68,1134.9,20411528000.0,16747284800.0
1996/12/3,1157.13,1122.99,1118.83,1177.68,21485675000.0,19274467000.0
1996/12/4,1117.03,1169.92,1115.27,1170.6,14828441000.0,12878816300.0
1996/12/5,1199.38,1212.08,1180.21,1215.25,19687107000.0,18972711000.0
1996/12/6,1207.3,1212.89,1194.77,1220.31,14430518000.0,14639772900.0
1996/12/9,1227.48,1247.66,1227.48,1250.56,15603201000.0,16156679300.0
1996/12/10,1244.11,1230.25,1202.28,1244.11,12963367000.0,13294497900.0
1996/12/11,1225.39,1244.9,1220.41,1258.69,12680276000.0,14208430000.0
1996/12/12,1248.14,1177.14,1167.98,1254.3,11204061000.0,12158619700.0
1996/12/13,1164.34,1110.04,1108.29,1175.44,9742486000.0,9828410900.0
1996/12/16,1005.01,1000.02,999.63,1005.12,1433003000.0,1345581200.0
1996/12/17,907.65,905.58,903.85,943.37,6014684000.0,5210304700.0
1996/12/18,872.36,972.73,869.02,975.96,10124334000.0,8156033300.0
1996/12/19,971.15,902.42,893.47,983.24,8908300000.0,7895064900.0
1996/12/20,881.09,885.24,864.26,898.92,6198930000.0,4861615200.0
1996/12/23,900.32,902.01,890.84,911.59,4437240000.0,3608732700.0
1996/12/24,907.63,865.58,864.15,911.12,3665224000.0,2912791400.0
1996/12/25,870.44,895.18,855.85,897.45,4159185000.0,3295271100.0
1996/12/26,904.02,924.24,890.41,924.33,5522191000.0,4167341000.0
1996/12/27,925.8,922.35,903.82,927.1,5509004000.0,4241788000.0
1996/12/30,929.72,934.21,923.95,938.55,5717505000.0,4756519100.0
1996/12/31,935.91,917.02,912.97,935.97,4721433000.0,3924646100.0
1997/1/2,914.06,919.44,909.46,920.19,2653037000.0,2321988600.0
1997/1/3,921.1,899.61,896.99,922.39,3429165000.0,2642924900.0
1997/1/6,890.98,876.5,875.89,892.02,2416088000.0,1809397600.0
1997/1/7,872.81,898.17,871.78,903.0,2518248000.0,1891778400.0
1997/1/8,899.83,896.41,887.23,902.53,2313690000.0,1836780300.0
1997/1/9,897.99,906.98,897.94,914.33,2526501000.0,2126459300.0
1997/1/10,908.56,918.4,906.55,918.51,3337217000.0,2827739800.0
1997/1/13,923.55,929.52,922.74,931.44,3881413000.0,3127874500.0
1997/1/14,929.55,907.85,903.62,929.59,3043939000.0,2556804400.0
1997/1/15,905.48,916.72,905.06,919.42,1937957000.0,1613827700.0
1997/1/16,917.48,915.01,908.26,922.1,1940147000.0,1772638700.0
1997/1/17,916.11,919.85,912.66,921.14,2236668000.0,2137573700.0
1997/1/20,922.47,933.28,922.06,933.36,2749331000.0,2400981100.0
1997/1/21,937.04,929.11,926.09,939.02,3393618000.0,2917591000.0
1997/1/22,929.36,942.44,929.01,942.73,3342414000.0,3095209800.0
1997/1/23,945.59,945.8,940.5,947.55,3969012000.0,3608573300.0
1997/1/24,945.53,953.92,934.64,954.3,3737870000.0,3229197100.0
1997/1/27,957.25,959.06,952.4,959.87,4799149000.0,3963541700.0
1997/1/28,957.88,956.31,947.91,957.88,3286744000.0,2840266600.0
1997/1/29,955.96,962.1,955.1,964.02,4130859000.0,3597506400.0
1997/1/30,960.49,960.17,955.47,962.97,3523831000.0,2986692200.0
1997/1/31,960.26,964.74,960.08,967.9,4088016000.0,3564975800.0
1997/2/17,969.53,982.4,959.75,985.21,3616966000.0,3281499600.0
1997/2/18,980.48,894.85,893.75,999.23,7273848000.0,6481373900.0
1997/2/19,911.58,962.69,911.58,962.69,5407282000.0,4914741300.0
1997/2/20,870.18,965.08,870.18,971.51,9530846000.0,8113990500.0
1997/2/21,967.68,1017.13,967.49,1017.32,13808384000.0,10832765000.0
1997/2/24,1028.35,1009.56,1004.62,1032.7,11122759000.0,9187289300.0
1997/2/25,1009.05,1017.96,1009.03,1028.34,7125747000.0,6507182000.0
1997/2/26,1019.86,1031.51,1015.39,1031.51,6167621000.0,5938470700.0
1997/2/27,1035.32,1025.3,1020.34,1038.49,6600775000.0,6136152800.0
1997/2/28,1023.37,1040.27,1010.27,1040.33,6698066000.0,6086289200.0
1997/3/3,1044.61,1063.05,1043.93,1063.05,9005945000.0,8490248100.0
1997/3/4,1063.29,1068.16,1048.44,1070.22,9139791000.0,8433954000.0
1997/3/5,1067.58,1052.15,1051.52,1072.46,7887031000.0,7078184400.0
1997/3/6,1045.89,1079.13,1044.24,1079.13,8700560000.0,7886975500.0
1997/3/7,1083.01,1077.72,1070.86,1086.64,8140573000.0,7905395900.0
1997/3/10,1085.91,1099.68,1085.89,1100.51,8631868000.0,8990352300.0
1997/3/11,1103.43,1109.73,1092.72,1109.95,8332303000.0,8810178300.0
1997/3/12,1112.71,1126.16,1109.47,1126.42,9627853000.0,9840922700.0
1997/3/13,1128.71,1117.28,1108.89,1131.74,9139949000.0,8956417300.0
1997/3/14,1114.74,1125.8,1092.7,1125.82,8188593000.0,8403021200.0
1997/3/17,1138.28,1158.48,1138.28,1159.54,11284870000.0,12054989000.0
1997/3/18,1164.96,1162.63,1148.08,1177.02,10507794000.0,11991783100.0
1997/3/19,1167.04,1161.27,1156.19,1170.4,8071929000.0,9403520100.0
1997/3/20,1162.26,1120.72,1119.67,1168.49,7576374000.0,8328923400.0
1997/3/21,1116.72,1167.17,1116.59,1167.21,7383739000.0,8497257900.0
1997/3/24,1186.95,1191.73,1181.33,1196.64,10888618000.0,12424952700.0
1997/3/25,1198.16,1197.84,1180.88,1201.62,9006469000.0,10318559000.0
1997/3/26,1204.21,1215.31,1201.17,1215.47,8872766000.0,9614035100.0
1997/3/27,1220.55,1214.26,1202.77,1228.24,9687737000.0,10661140800.0
1997/3/28,1213.81,1202.67,1199.53,1219.04,7532681000.0,8368521800.0
1997/3/31,1210.02,1234.62,1210.0,1234.96,8505750000.0,9048962500.0
1997/4/1,1243.87,1241.03,1234.25,1246.31,8367888000.0,8328385700.0
1997/4/2,1246.41,1233.85,1232.31,1249.57,7583241000.0,8104114600.0
1997/4/3,1233.82,1246.03,1222.56,1246.18,6891523000.0,7923154000.0
1997/4/4,1258.07,1260.96,1251.6,1269.74,10161852000.0,12297445700.0
1997/4/7,1259.59,1276.41,1252.75,1276.57,10098885000.0,11880395600.0
1997/4/8,1277.06,1247.26,1246.72,1278.3,8053775000.0,9738363500.0
1997/4/9,1251.57,1286.85,1251.56,1286.91,9604504000.0,11978369600.0
1997/4/10,1293.26,1281.89,1279.49,1299.74,10861329000.0,13078690300.0
1997/4/11,1279.34,1278.53,1251.01,1283.56,9223723000.0,11052692400.0
1997/4/14,1293.98,1316.92,1293.98,1325.67,14119474000.0,15454527200.0
1997/4/15,1318.57,1324.96,1298.18,1326.38,10320303000.0,11510269400.0
1997/4/16,1334.31,1327.78,1318.16,1338.42,9697085000.0,11061576900.0
1997/4/17,1323.42,1323.37,1319.76,1331.18,7803004000.0,8753417500.0
1997/4/18,1325.23,1338.03,1305.96,1338.85,8801098000.0,9889555900.0
1997/4/21,1355.56,1362.08,1350.8,1365.22,12377890000.0,13455767800.0
1997/4/22,1362.98,1365.5,1354.45,1368.88,10857721000.0,11914352700.0
1997/4/23,1370.05,1378.84,1368.65,1380.36,10522662000.0,13472004300.0
1997/4/24,1370.17,1380.28,1356.52,1386.52,10035406000.0,13176252400.0
1997/4/25,1382.93,1364.98,1363.98,1386.27,10444571000.0,13882035100.0
1997/4/28,1372.26,1352.0,1346.26,1381.56,9226121000.0,12072769500.0
1997/4/29,1354.0,1376.77,1335.76,1376.82,8349533000.0,10077059800.0
1997/4/30,1385.3,1393.75,1376.46,1396.48,8331599000.0,10347570500.0
1997/5/5,1398.14,1448.93,1398.05,1448.99,10288347000.0,12890553500.0
1997/5/6,1462.03,1482.99,1459.68,1483.5,11585373000.0,15976226000.0
1997/5/7,1495.22,1495.46,1464.86,1499.62,11442789000.0,15637243500.0
1997/5/8,1496.98,1405.18,1401.59,1504.26,11449654000.0,15588909100.0
1997/5/9,1412.9,1467.23,1394.42,1469.08,9601984000.0,13238872800.0
1997/5/12,1490.78,1500.4,1486.45,1510.18,13162879000.0,15982974800.0
1997/5/13,1501.25,1464.28,1436.21,1501.25,10808461000.0,13042277600.0
1997/5/14,1447.61,1379.22,1378.03,1447.67,8075459000.0,10436190700.0
1997/5/15,1371.19,1417.67,1360.23,1425.3,6742493000.0,9072862500.0
1997/5/16,1309.6,1315.92,1287.07,1394.21,9768284000.0,12486788000.0
1997/5/19,1330.79,1344.61,1316.13,1350.58,5613684000.0,6869278000.0
1997/5/20,1351.66,1381.12,1351.23,1386.37,5354499000.0,7286682400.0
1997/5/21,1386.85,1354.88,1340.29,1389.6,5652777000.0,7877208100.0
1997/5/22,1248.97,1235.22,1232.2,1300.98,6673195000.0,8574500600.0
1997/5/23,1238.69,1254.27,1225.8,1263.52,5390990000.0,7602164900.0
1997/5/26,1268.59,1251.55,1213.24,1275.3,5863918000.0,8336778500.0
1997/5/27,1258.38,1281.74,1253.25,1281.75,5377609000.0,7523496100.0
1997/5/28,1283.0,1270.35,1265.57,1288.74,4808782000.0,7113638100.0
1997/5/29,1267.52,1263.35,1262.57,1282.85,4661898000.0,6385676200.0
1997/5/30,1261.29,1285.18,1254.62,1285.39,3937747000.0,5466626300.0
1997/6/2,1302.82,1336.28,1302.16,1336.42,6344059000.0,8578887400.0
1997/6/3,1341.68,1338.76,1313.46,1344.64,7059196000.0,9995071200.0
1997/6/4,1345.38,1361.19,1344.59,1363.71,7167137000.0,10386088200.0
1997/6/5,1362.19,1360.23,1346.97,1369.51,6025594000.0,9190508800.0
1997/6/6,1271.31,1275.3,1254.27,1314.73,9218915000.0,13058514500.0
1997/6/9,1275.25,1274.92,1255.67,1282.75,3482366000.0,4707605800.0
1997/6/10,1278.99,1241.74,1239.86,1285.04,2750901000.0,3575955500.0
1997/6/11,1239.5,1220.4,1175.71,1244.01,3670099000.0,4622822900.0
1997/6/12,1224.47,1212.77,1211.8,1229.64,2912346000.0,3449201600.0
1997/6/13,1154.98,1243.98,1154.97,1244.24,4544997000.0,5551122900.0
